id,temperature,humidity,datetime,last_capture
13_45,33,70.7,2020-01-31 14:00:07,2020-02-14 18:00:06
13_60,33,70.7,2020-01-31 14:00:07,2020-02-14 18:00:06
13_75,33,70.7,2020-01-31 14:00:07,2020-02-14 18:00:06
14,30.9,71.9,2020-01-31 18:00:06,2020-02-14 18:00:06
14_15,30.9,71.9,2020-01-31 18:00:06,2020-02-14 18:00:06
14_30,30.9,71.9,2020-01-31 18:00:06,2020-02-14 18:00:06
14_45,30.9,71.9,2020-01-31 18:00:06,2020-02-14 18:00:06
14_60,30.9,71.9,2020-01-31 18:00:06,2020-02-14 18:00:06
14_75,30.9,71.9,2020-01-31 18:00:06,2020-02-14 18:00:06
15,29.1,83.8,2020-02-01 00:00:06,2020-02-14 18:00:06
15_15,29.1,83.8,2020-02-01 00:00:06,2020-02-14 18:00:06
15_30,29.1,83.8,2020-02-01 00:00:06,2020-02-14 18:00:06
15_45,29.1,83.8,2020-02-01 00:00:06,2020-02-14 18:00:06
15_60,29.1,83.8,2020-02-01 00:00:06,2020-02-14 18:00:06
15_75,29.1,83.8,2020-02-01 00:00:06,2020-02-14 18:00:06
16,28.1,89.6,2020-02-01 06:00:06,2020-02-14 18:00:06
16_15,28.1,89.6,2020-02-01 06:00:06,2020-02-14 18:00:06
16_30,28.1,89.6,2020-02-01 06:00:06,2020-02-14 18:00:06
16_45,28.1,89.6,2020-02-01 06:00:06,2020-02-14 18:00:06
16_60,28.1,89.6,2020-02-01 06:00:06,2020-02-14 18:00:06
16_75,28.1,89.6,2020-02-01 06:00:06,2020-02-14 18:00:06
17,29.6,85.9,2020-02-02 00:00:06,2020-02-14 18:00:06
17_15,29.6,85.9,2020-02-02 00:00:06,2020-02-14 18:00:06
17_30,29.6,85.9,2020-02-02 00:00:06,2020-02-14 18:00:06
17_45,29.6,85.9,2020-02-02 00:00:06,2020-02-14 18:00:06
17_60,29.6,85.9,2020-02-02 00:00:06,2020-02-14 18:00:06
17_75,29.6,85.9,2020-02-02 00:00:06,2020-02-14 18:00:06
18,28.4,88.3,2020-02-02 06:00:06,2020-02-14 18:00:06
18_15,28.4,88.3,2020-02-02 06:00:06,2020-02-14 18:00:06
18_30,28.4,88.3,2020-02-02 06:00:06,2020-02-14 18:00:06
18_45,28.4,88.3,2020-02-02 06:00:06,2020-02-14 18:00:06
18_60,28.4,88.3,2020-02-02 06:00:06,2020-02-14 18:00:06
18_75,28.4,88.3,2020-02-02 06:00:06,2020-02-14 18:00:06
19,34.4,76.8,2020-02-02 12:00:06,2020-02-14 18:00:06
19_15,34.4,76.8,2020-02-02 12:00:06,2020-02-14 18:00:06
19_30,34.4,76.8,2020-02-02 12:00:06,2020-02-14 18:00:06
19_45,34.4,76.8,2020-02-02 12:00:06,2020-02-14 18:00:06
19_60,34.4,76.8,2020-02-02 12:00:06,2020-02-14 18:00:06
19_75,34.4,76.8,2020-02-02 12:00:06,2020-02-14 18:00:06
20,34.9,72.4,2020-02-02 14:00:06,2020-02-14 18:00:06
20_15,34.9,72.4,2020-02-02 14:00:06,2020-02-14 18:00:06
20_30,34.9,72.4,2020-02-02 14:00:06,2020-02-14 18:00:06
20_45,34.9,72.4,2020-02-02 14:00:06,2020-02-14 18:00:06
20_60,34.9,72.4,2020-02-02 14:00:06,2020-02-14 18:00:06
20_75,34.9,72.4,2020-02-02 14:00:06,2020-02-14 18:00:06
21,32.2,73.2,2020-02-02 18:00:06,2020-02-14 18:00:06
21_15,32.2,73.2,2020-02-02 18:00:06,2020-02-14 18:00:06
21_30,32.2,73.2,2020-02-02 18:00:06,2020-02-14 18:00:06
21_45,32.2,73.2,2020-02-02 18:00:06,2020-02-14 18:00:06
21_60,32.2,73.2,2020-02-02 18:00:06,2020-02-14 18:00:06
21_75,32.2,73.2,2020-02-02 18:00:06,2020-02-14 18:00:06
22,29.5,78.1,2020-02-03 00:00:06,2020-02-14 18:00:06
22_15,29.5,78.1,2020-02-03 00:00:06,2020-02-14 18:00:06
22_30,29.5,78.1,2020-02-03 00:00:06,2020-02-14 18:00:06
22_45,29.5,78.1,2020-02-03 00:00:06,2020-02-14 18:00:06
22_60,29.5,78.1,2020-02-03 00:00:06,2020-02-14 18:00:06
22_75,29.5,78.1,2020-02-03 00:00:06,2020-02-14 18:00:06
23,28.4,80.2,2020-02-03 06:00:06,2020-02-14 18:00:06
23_15,28.4,80.2,2020-02-03 06:00:06,2020-02-14 18:00:06
23_30,28.4,80.2,2020-02-03 06:00:06,2020-02-14 18:00:06
23_45,28.4,80.2,2020-02-03 06:00:06,2020-02-14 18:00:06
23_60,28.4,80.2,2020-02-03 06:00:06,2020-02-14 18:00:06
23_75,28.4,80.2,2020-02-03 06:00:06,2020-02-14 18:00:06
24,32.2,75.4,2020-02-03 12:00:06,2020-02-14 18:00:06
24_15,32.2,75.4,2020-02-03 12:00:06,2020-02-14 18:00:06
24_30,32.2,75.4,2020-02-03 12:00:06,2020-02-14 18:00:06
24_45,32.2,75.4,2020-02-03 12:00:06,2020-02-14 18:00:06
24_60,32.2,75.4,2020-02-03 12:00:06,2020-02-14 18:00:06
24_75,32.2,75.4,2020-02-03 12:00:06,2020-02-14 18:00:06
25,29.1,84.3,2020-02-05 00:00:06,2020-02-14 18:00:06
25_15,29.1,84.3,2020-02-05 00:00:06,2020-02-14 18:00:06
25_30,29.1,84.3,2020-02-05 00:00:06,2020-02-14 18:00:06
25_45,29.1,84.3,2020-02-05 00:00:06,2020-02-14 18:00:06
25_60,29.1,84.3,2020-02-05 00:00:06,2020-02-14 18:00:06
25_75,29.1,84.3,2020-02-05 00:00:06,2020-02-14 18:00:06
26,28.4,86.5,2020-02-05 06:00:06,2020-02-14 18:00:06
26_15,28.4,86.5,2020-02-05 06:00:06,2020-02-14 18:00:06
26_30,28.4,86.5,2020-02-05 06:00:06,2020-02-14 18:00:06
26_45,28.4,86.5,2020-02-05 06:00:06,2020-02-14 18:00:06
26_60,28.4,86.5,2020-02-05 06:00:06,2020-02-14 18:00:06
26_75,28.4,86.5,2020-02-05 06:00:06,2020-02-14 18:00:06
27,33.9,77.1,2020-02-05 12:00:06,2020-02-14 18:00:06
27_15,33.9,77.1,2020-02-05 12:00:06,2020-02-14 18:00:06
27_30,33.9,77.1,2020-02-05 12:00:06,2020-02-14 18:00:06
27_45,33.9,77.1,2020-02-05 12:00:06,2020-02-14 18:00:06
27_60,33.9,77.1,2020-02-05 12:00:06,2020-02-14 18:00:06
27_75,33.9,77.1,2020-02-05 12:00:06,2020-02-14 18:00:06
28,33.2,73.5,2020-02-05 14:00:07,2020-02-14 18:00:06
28_15,33.2,73.5,2020-02-05 14:00:07,2020-02-14 18:00:06
28_30,33.2,73.5,2020-02-05 14:00:07,2020-02-14 18:00:06
28_45,33.2,73.5,2020-02-05 14:00:07,2020-02-14 18:00:06
28_60,33.2,73.5,2020-02-05 14:00:07,2020-02-14 18:00:06
28_75,33.2,73.5,2020-02-05 14:00:07,2020-02-14 18:00:06
29,31.7,75.1,2020-02-05 18:00:06,2020-02-14 18:00:06
29_15,31.7,75.1,2020-02-05 18:00:06,2020-02-14 18:00:06
29_30,31.7,75.1,2020-02-05 18:00:06,2020-02-14 18:00:06
29_45,31.7,75.1,2020-02-05 18:00:06,2020-02-14 18:00:06
